City,Vehicle Type,Weather,Economic Condition,Day Of Week,Hour Of Day,Speed,Is Peak Hour,Random Event Occurred,Energy Consumption,Traffic Density
TechHaven,Drone,Solar Flare,Booming,Sunday,13,98.661,1,0,44.8459,0.4018
AquaCity,Flying Car,Solar Flare,Recession,Sunday,6,52.2676,0,0,62.7211,0.0929
Ecoopolis,Autonomous Vehicle,Clear,Booming,Sunday,23,30.2826,0,0,24.2261,0.182
SolarisVille,Flying Car,Clear,Stable,Monday,15,97.5394,0,0,117.0473,0.4499
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Booming,Thursday,23,71.4505,0,0,57.1604,0.4861
Ecoopolis,Flying Car,Solar Flare,Booming,Wednesday,11,73.8355,0,1,88.6026,0.2456
MetropolisX,Autonomous Vehicle,Rainy,Recession,Sunday,11,75.0681,0,0,71.8355,0.1089
AquaCity,Autonomous Vehicle,Snowy,Booming,Tuesday,19,52.1297,0,0,46.3375,0.3073
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Recession,Wednesday,2,21.5476,0,0,20.6197,0.0556
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Stable,Thursday,17,110.352,1,0,90.8954,0.2019
MetropolisX,Drone,Solar Flare,Recession,Tuesday,5,31.3691,0,0,17.8233,0.1654
Ecoopolis,Drone,Solar Flare,Recession,Saturday,0,76.3012,0,0,38.1506,0.0391
SolarisVille,Autonomous Vehicle,Snowy,Stable,Tuesday,14,67.924,0,0,54.3392,0.3011
MetropolisX,Autonomous Vehicle,Rainy,Stable,Thursday,4,63.6501,0,1,53.6001,0.7958
Neuroburg,Autonomous Vehicle,Rainy,Recession,Tuesday,9,37.0869,0,0,35.4898,0.046
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Stable,Monday,23,78.913,0,0,75.5148,0.0788
SolarisVille,Autonomous Vehicle,Clear,Stable,Friday,13,102.3483,0,0,81.8786,0.3845
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Stable,Thursday,4,24.7506,0,0,23.6848,0.1701
AquaCity,Autonomous Vehicle,Rainy,Stable,Saturday,1,35.1471,0,0,28.1177,0.9722
MetropolisX,Autonomous Vehicle,Solar Flare,Booming,Wednesday,9,122.7485,0,0,111.5895,0.4521
MetropolisX,Autonomous Vehicle,Clear,Booming,Wednesday,6,101.7611,0,0,92.51,0.4271
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Recession,Saturday,16,68.631,0,0,54.9048,0.0425
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Stable,Saturday,0,47.091,0,0,37.6728,0.6279
TechHaven,Drone,Clear,Stable,Friday,4,15.9843,0,0,9.082,0.2597
MetropolisX,Autonomous Vehicle,Snowy,Stable,Friday,14,80.0923,0,0,76.6434,0.43
MetropolisX,Autonomous Vehicle,Clear,Booming,Saturday,3,50.4397,0,0,45.8543,0.3935
Ecoopolis,Flying Car,Snowy,Recession,Thursday,2,57.3691,0,0,68.8429,0.0705
Neuroburg,Autonomous Vehicle,Solar Flare,Recession,Wednesday,0,79.9636,0,0,80.7713,0.0415
SolarisVille,Drone,Snowy,Recession,Wednesday,17,92.0249,1,0,46.0125,0.1047
MetropolisX,Autonomous Vehicle,Clear,Recession,Thursday,0,111.7902,0,0,101.6275,0.3328
TechHaven,Autonomous Vehicle,Snowy,Recession,Saturday,11,24.7623,0,0,23.6959,0.094
TechHaven,Autonomous Vehicle,Rainy,Recession,Thursday,4,47.8355,0,0,45.7756,0.0335
TechHaven,Autonomous Vehicle,Rainy,Booming,Thursday,6,68.0082,0,0,65.0796,0.1705
SolarisVille,Drone,Clear,Stable,Monday,3,117.9285,0,0,58.9643,0.2392
SolarisVille,Autonomous Vehicle,Rainy,Recession,Tuesday,18,64.9017,1,0,57.6904,0.1723
Ecoopolis,Autonomous Vehicle,Electromagnetic Storm,Stable,Tuesday,23,19.5689,0,0,15.6552,0.2276
MetropolisX,Autonomous Vehicle,Rainy,Booming,Monday,15,63.1731,0,0,60.4527,0.6107
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Recession,Tuesday,2,57.8186,0,0,46.2549,0.1421
SolarisVille,Flying Car,Clear,Booming,Friday,2,63.0119,0,0,75.6143,0.5123
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Booming,Thursday,1,70.1642,0,0,56.1313,0.3893
MetropolisX,Autonomous Vehicle,Rainy,Recession,Friday,1,80.8982,0,0,77.4145,0.2124
Neuroburg,Autonomous Vehicle,Solar Flare,Recession,Sunday,22,62.7851,0,0,57.0773,0.0338
Neuroburg,Autonomous Vehicle,Clear,Booming,Tuesday,13,26.7801,0,0,24.3455,0.1643
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Recession,Thursday,20,77.2036,0,0,74.6253,0.1587
TechHaven,Autonomous Vehicle,Solar Flare,Booming,Sunday,20,57.0265,0,0,81.0036,0.1743
MetropolisX,Autonomous Vehicle,Clear,Recession,Monday,22,75.3904,0,0,68.5367,0.2016
Ecoopolis,Autonomous Vehicle,Snowy,Booming,Thursday,23,36.4403,0,0,29.1523,0.2691
Neuroburg,Autonomous Vehicle,Rainy,Booming,Sunday,9,97.4814,0,0,93.2837,0.0847
AquaCity,Flying Car,Solar Flare,Stable,Tuesday,11,40.1204,0,0,48.1445,0.5729
SolarisVille,Autonomous Vehicle,Snowy,Recession,Sunday,16,63.1457,0,0,50.5165,0.173
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Stable,Saturday,10,26.8104,0,0,40.7236,0.4407
AquaCity,Drone,Clear,Stable,Tuesday,11,23.7413,0,0,11.8706,0.4363
AquaCity,Drone,Clear,Stable,Sunday,11,101.9067,0,0,50.9533,0.6348
AquaCity,Drone,Solar Flare,Booming,Saturday,1,56.8271,0,0,28.4135,0.4624
AquaCity,Autonomous Vehicle,Clear,Recession,Saturday,1,42.7368,0,0,34.1894,0.1276
MetropolisX,Car,Clear,Stable,Friday,2,25.2123,0,0,28.6503,0.4387
Neuroburg,Autonomous Vehicle,Snowy,Stable,Thursday,14,25.3033,0,0,24.2137,0.0732
Neuroburg,Autonomous Vehicle,Solar Flare,Recession,Friday,5,72.4232,0,0,65.8393,0.0487
SolarisVille,Car,Clear,Recession,Monday,23,82.9574,0,0,82.9574,0.1784
SolarisVille,Drone,Electromagnetic Storm,Stable,Tuesday,7,86.455,1,0,43.2275,0.2561
SolarisVille,Autonomous Vehicle,Clear,Booming,Saturday,9,100.4297,0,0,80.3438,0.4603
SolarisVille,Autonomous Vehicle,Rainy,Recession,Tuesday,9,69.2406,0,0,55.3925,0.1595
MetropolisX,Autonomous Vehicle,Solar Flare,Stable,Tuesday,11,76.5713,0,0,69.6103,0.3798
Ecoopolis,Autonomous Vehicle,Rainy,Stable,Friday,19,44.8509,0,0,39.8674,0.1404
MetropolisX,Autonomous Vehicle,Clear,Stable,Tuesday,16,114.9203,0,0,104.473,0.3245
Ecoopolis,Car,Snowy,Stable,Wednesday,5,27.141,0,0,27.141,0.3073
SolarisVille,Drone,Snowy,Stable,Wednesday,16,108.0,0,0,55.5325,0.4039
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Recession,Thursday,19,104.9356,0,0,93.2761,0.2935
MetropolisX,Drone,Snowy,Stable,Saturday,18,53.3226,0,0,31.8915,0.3242
AquaCity,Autonomous Vehicle,Rainy,Booming,Thursday,8,35.4969,1,0,28.3975,0.3886
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Stable,Wednesday,17,109.44,1,0,106.471,0.71
TechHaven,Autonomous Vehicle,Snowy,Booming,Sunday,18,74.2503,0,0,71.0529,0.2154
TechHaven,Autonomous Vehicle,Snowy,Stable,Friday,2,53.1123,0,0,50.8251,0.2108
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Stable,Thursday,4,24.9907,0,0,23.9146,0.2276
TechHaven,Drone,Clear,Recession,Sunday,3,32.2888,0,0,18.3459,0.0713
TechHaven,Autonomous Vehicle,Solar Flare,Recession,Friday,15,79.9532,0,0,72.6847,0.0424
Ecoopolis,Drone,Rainy,Booming,Tuesday,2,69.12,0,0,52.2063,0.2152
SolarisVille,Drone,Rainy,Recession,Saturday,1,33.8297,0,0,16.9148,0.3255
SolarisVille,Autonomous Vehicle,Clear,Stable,Wednesday,21,43.957,0,0,39.0729,0.3392
TechHaven,Autonomous Vehicle,Solar Flare,Recession,Wednesday,2,28.077,0,0,25.5246,0.1188
SolarisVille,Autonomous Vehicle,Rainy,Recession,Monday,19,60.7918,0,0,54.0372,0.1054
Neuroburg,Autonomous Vehicle,Solar Flare,Booming,Sunday,9,68.4605,0,0,62.2368,0.1166
MetropolisX,Drone,Snowy,Booming,Saturday,6,68.2946,0,0,40.846,0.3454
SolarisVille,Autonomous Vehicle,Clear,Recession,Friday,10,76.677,0,0,61.3416,0.0549
Ecoopolis,Autonomous Vehicle,Solar Flare,Stable,Friday,5,69.7686,0,0,55.8149,0.178
TechHaven,Autonomous Vehicle,Solar Flare,Stable,Thursday,17,116.16,1,0,88.9886,0.2095
Neuroburg,Drone,Clear,Booming,Wednesday,7,35.2138,1,0,16.0063,0.1432
SolarisVille,Autonomous Vehicle,Rainy,Recession,Wednesday,22,48.0541,0,0,38.4433,0.1729
Neuroburg,Autonomous Vehicle,Clear,Stable,Friday,23,78.3076,0,0,71.1887,0.0922
SolarisVille,Car,Snowy,Recession,Friday,9,82.661,0,0,82.661,0.0994
Neuroburg,Drone,Electromagnetic Storm,Stable,Monday,19,72.0621,0,0,43.0994,0.0606
SolarisVille,Autonomous Vehicle,Snowy,Recession,Tuesday,13,37.9535,0,0,30.3628,0.1202
TechHaven,Drone,Solar Flare,Stable,Wednesday,18,26.466,1,0,12.03,0.2775
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Recession,Thursday,18,55.1232,1,0,48.9984,0.0884
MetropolisX,Autonomous Vehicle,Rainy,Recession,Monday,2,52.8055,0,0,50.5316,0.097
SolarisVille,Autonomous Vehicle,Snowy,Stable,Monday,8,23.4378,1,0,18.7503,0.2319
AquaCity,Drone,Solar Flare,Stable,Saturday,17,80.1178,0,0,44.5099,0.6618
Ecoopolis,Drone,Snowy,Stable,Friday,21,53.6665,0,0,26.8332,0.1598
MetropolisX,Drone,Solar Flare,Recession,Friday,10,78.0048,0,1,44.3209,0.4474
Neuroburg,Autonomous Vehicle,Snowy,Recession,Saturday,1,103.865,0,0,99.3923,0.0311
AquaCity,Car,Rainy,Stable,Wednesday,20,20.2592,0,0,20.2592,0.6239
Ecoopolis,Drone,Solar Flare,Stable,Wednesday,18,49.4864,1,0,24.7432,0.1994
SolarisVille,Autonomous Vehicle,Snowy,Booming,Monday,6,58.6562,0,0,46.9249,0.6689
Neuroburg,Autonomous Vehicle,Clear,Stable,Monday,20,100.1339,0,0,77.8041,0.0929
SolarisVille,Autonomous Vehicle,Snowy,Stable,Friday,7,84.7043,1,0,67.7634,0.342
SolarisVille,Drone,Clear,Recession,Friday,16,108.8215,0,0,54.4107,0.0743
TechHaven,Autonomous Vehicle,Clear,Recession,Friday,15,53.3303,0,0,48.4821,0.0821
MetropolisX,Autonomous Vehicle,Snowy,Booming,Friday,0,18.8828,0,0,18.0696,0.2998
Neuroburg,Autonomous Vehicle,Solar Flare,Stable,Friday,10,15.8563,0,0,14.4148,0.1361
TechHaven,Drone,Clear,Booming,Sunday,16,26.8288,0,1,15.2436,0.4902
AquaCity,Flying Car,Clear,Booming,Saturday,9,74.0238,0,0,88.8285,0.5289
TechHaven,Drone,Rainy,Recession,Tuesday,22,94.5205,0,0,56.5314,0.1203
AquaCity,Car,Solar Flare,Stable,Wednesday,18,36.8116,1,0,36.8116,0.9617
TechHaven,Autonomous Vehicle,Solar Flare,Booming,Tuesday,5,74.637,0,0,67.8518,0.4063
Neuroburg,Drone,Solar Flare,Booming,Tuesday,16,76.2119,0,0,54.1278,0.11
TechHaven,Autonomous Vehicle,Snowy,Stable,Monday,4,38.3736,0,0,36.7211,0.1989
TechHaven,Autonomous Vehicle,Clear,Recession,Friday,10,19.3302,0,0,17.5729,0.0527
AquaCity,Drone,Snowy,Booming,Monday,12,25.5537,0,0,12.7769,0.7648
Ecoopolis,Autonomous Vehicle,Electromagnetic Storm,Stable,Monday,12,21.8654,0,0,17.4923,0.2526
MetropolisX,Drone,Electromagnetic Storm,Recession,Thursday,18,100.6467,1,0,48.1563,0.1692
Neuroburg,Autonomous Vehicle,Solar Flare,Booming,Monday,15,27.102,0,0,24.6382,0.1287
TechHaven,Drone,Rainy,Booming,Thursday,2,18.8632,0,0,11.2818,0.2998
MetropolisX,Drone,Electromagnetic Storm,Recession,Thursday,7,35.7771,1,0,17.1182,0.0979
Ecoopolis,Autonomous Vehicle,Solar Flare,Booming,Sunday,8,72.6729,0,0,58.1383,0.2035
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Recession,Sunday,5,79.9177,0,0,63.9341,0.1833
MetropolisX,Autonomous Vehicle,Clear,Recession,Friday,22,82.4593,0,0,74.963,0.2019
TechHaven,Drone,Solar Flare,Stable,Saturday,8,79.4345,0,0,45.1332,0.3039
AquaCity,Autonomous Vehicle,Solar Flare,Stable,Friday,10,33.6208,0,0,26.8967,0.5486
TechHaven,Autonomous Vehicle,Solar Flare,Booming,Thursday,15,57.2857,0,0,52.0779,0.3268
SolarisVille,Drone,Electromagnetic Storm,Recession,Wednesday,22,34.5006,0,0,17.2503,0.123
SolarisVille,Drone,Solar Flare,Stable,Thursday,10,32.0177,0,0,16.0089,0.1566
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Stable,Tuesday,0,64.3384,0,1,51.4707,0.5724
SolarisVille,Flying Car,Electromagnetic Storm,Recession,Wednesday,3,58.9183,0,0,70.7019,0.1812
TechHaven,Drone,Clear,Booming,Tuesday,14,15.4381,0,0,8.7716,0.2396
Neuroburg,Autonomous Vehicle,Clear,Booming,Tuesday,5,20.7091,0,0,18.8265,0.1925
Ecoopolis,Autonomous Vehicle,Snowy,Stable,Sunday,2,34.066,0,0,27.2528,0.1481
Ecoopolis,Autonomous Vehicle,Snowy,Stable,Thursday,2,63.8785,0,0,51.1028,0.2322
Neuroburg,Autonomous Vehicle,Clear,Stable,Wednesday,7,99.7989,1,0,72.581,0.1362
AquaCity,Autonomous Vehicle,Clear,Stable,Monday,21,42.159,0,1,37.4746,0.6279
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Booming,Sunday,17,53.7515,0,0,51.4368,0.2376
Ecoopolis,Autonomous Vehicle,Snowy,Booming,Saturday,14,55.296,1,0,58.4748,0.2458
Ecoopolis,Autonomous Vehicle,Rainy,Recession,Wednesday,1,74.3837,0,0,59.5069,0.0415
MetropolisX,Autonomous Vehicle,Snowy,Booming,Saturday,15,77.7469,0,0,74.3989,0.36
Ecoopolis,Autonomous Vehicle,Snowy,Booming,Tuesday,13,59.659,0,0,47.7272,0.1113
MetropolisX,Drone,Solar Flare,Recession,Sunday,20,107.9724,0,0,61.348,0.3317
SolarisVille,Autonomous Vehicle,Snowy,Recession,Monday,8,68.0479,1,0,54.4383,0.1663
MetropolisX,Drone,Electromagnetic Storm,Recession,Wednesday,2,43.3824,0,0,25.9464,0.308
SolarisVille,Autonomous Vehicle,Clear,Recession,Thursday,7,50.4437,1,0,40.355,0.0722
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Booming,Tuesday,19,89.3248,0,0,79.3998,0.2409
MetropolisX,Car,Solar Flare,Booming,Friday,13,43.1315,0,0,49.0131,0.626
TechHaven,Autonomous Vehicle,Snowy,Recession,Wednesday,23,70.9191,0,0,67.8651,0.1044
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Recession,Tuesday,5,46.3115,0,0,44.3172,0.1036
MetropolisX,Flying Car,Rainy,Recession,Friday,1,29.6864,0,0,42.612,0.3321
Neuroburg,Autonomous Vehicle,Clear,Recession,Monday,2,102.524,0,0,93.2036,0.0443
SolarisVille,Car,Clear,Recession,Sunday,13,84.9939,1,1,84.9939,0.1366
AquaCity,Autonomous Vehicle,Clear,Stable,Wednesday,13,55.6274,0,0,44.5019,0.8381
Neuroburg,Autonomous Vehicle,Clear,Recession,Sunday,1,99.4143,0,0,90.3766,0.0386
MetropolisX,Autonomous Vehicle,Solar Flare,Recession,Sunday,14,124.2905,1,0,90.3931,0.2943
Ecoopolis,Flying Car,Clear,Stable,Monday,23,79.7626,0,0,95.7151,0.5243
MetropolisX,Autonomous Vehicle,Clear,Booming,Thursday,2,65.192,0,0,52.1536,0.7002
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Stable,Tuesday,17,42.9495,1,1,34.3596,0.2822
Ecoopolis,Autonomous Vehicle,Clear,Booming,Friday,20,51.3742,0,0,45.6659,0.2375
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Booming,Sunday,19,41.314,0,0,34.7908,0.7605
AquaCity,Autonomous Vehicle,Solar Flare,Booming,Tuesday,12,108.0,0,0,100.8926,0.4785
SolarisVille,Flying Car,Solar Flare,Stable,Friday,22,24.0286,0,0,28.8343,0.2575
Ecoopolis,Autonomous Vehicle,Rainy,Booming,Saturday,2,68.7773,0,0,55.0218,0.1849
MetropolisX,Drone,Clear,Booming,Sunday,8,32.4476,0,0,32.9216,0.5851
Ecoopolis,Autonomous Vehicle,Solar Flare,Recession,Sunday,9,23.6913,0,0,18.953,0.1123
Neuroburg,Autonomous Vehicle,Rainy,Booming,Thursday,18,54.169,1,0,35.4436,0.0723
Neuroburg,Autonomous Vehicle,Snowy,Stable,Sunday,0,69.524,0,0,66.5302,0.0732
TechHaven,Autonomous Vehicle,Rainy,Recession,Thursday,7,37.3714,1,0,28.6097,0.0361
TechHaven,Autonomous Vehicle,Rainy,Stable,Wednesday,12,29.3962,0,0,28.1303,0.1572
AquaCity,Autonomous Vehicle,Rainy,Booming,Monday,7,38.4056,1,1,30.7245,0.425
Ecoopolis,Autonomous Vehicle,Clear,Stable,Thursday,19,73.7786,0,0,65.581,0.24
TechHaven,Autonomous Vehicle,Clear,Recession,Wednesday,13,41.9058,0,0,38.0961,0.0986
MetropolisX,Autonomous Vehicle,Solar Flare,Recession,Saturday,14,117.9833,1,0,85.806,0.2416
Ecoopolis,Autonomous Vehicle,Snowy,Stable,Thursday,5,29.236,0,0,23.3888,0.2011
TechHaven,Autonomous Vehicle,Solar Flare,Recession,Thursday,21,97.3914,0,0,81.9793,0.0592
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Stable,Friday,18,24.786,1,0,22.032,0.3128
TechHaven,Autonomous Vehicle,Snowy,Stable,Friday,14,24.6205,0,0,23.5603,0.2156
Ecoopolis,Drone,Electromagnetic Storm,Recession,Tuesday,1,28.9768,0,0,14.4884,0.1385
MetropolisX,Flying Car,Snowy,Stable,Monday,9,33.1127,0,0,41.8266,0.8372
MetropolisX,Autonomous Vehicle,Snowy,Stable,Friday,6,76.3002,0,0,73.0145,0.2856
SolarisVille,Drone,Solar Flare,Stable,Wednesday,4,34.7575,0,0,17.3787,0.1615
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Stable,Wednesday,21,61.1916,0,0,54.3925,0.3921
MetropolisX,Autonomous Vehicle,Solar Flare,Recession,Tuesday,0,87.3981,0,1,79.4528,0.2431
Neuroburg,Drone,Electromagnetic Storm,Stable,Thursday,10,92.1812,0,0,55.1323,0.1025
Neuroburg,Autonomous Vehicle,Rainy,Booming,Thursday,21,45.3927,0,0,46.4081,0.1488
SolarisVille,Drone,Clear,Stable,Friday,19,88.9493,0,0,44.4746,0.3848
TechHaven,Drone,Rainy,Recession,Friday,13,49.3509,0,1,29.5161,0.0866
TechHaven,Drone,Snowy,Booming,Sunday,14,28.0915,1,0,13.4409,0.2312
Ecoopolis,Drone,Snowy,Stable,Sunday,10,73.7906,0,0,36.8953,0.1873
SolarisVille,Autonomous Vehicle,Snowy,Recession,Tuesday,0,51.6291,0,0,41.3033,0.1516
Ecoopolis,Drone,Solar Flare,Recession,Tuesday,5,88.6922,0,0,44.3461,0.0668
Ecoopolis,Drone,Solar Flare,Stable,Wednesday,6,96.0,0,0,49.3778,0.2804
Ecoopolis,Autonomous Vehicle,Rainy,Stable,Tuesday,2,43.3509,0,0,34.6807,0.1458
MetropolisX,Drone,Snowy,Recession,Thursday,15,79.8247,0,0,47.742,0.129
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Booming,Monday,6,56.6882,0,0,45.3506,0.6874
Ecoopolis,Autonomous Vehicle,Clear,Recession,Friday,10,56.524,0,0,45.2192,0.1572
SolarisVille,Autonomous Vehicle,Clear,Recession,Thursday,5,79.5314,0,0,63.6252,0.0662
MetropolisX,Autonomous Vehicle,Clear,Booming,Friday,9,60.2783,0,0,66.9759,0.9859
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Recession,Sunday,11,84.4156,0,0,67.5325,0.1331
AquaCity,Autonomous Vehicle,Rainy,Booming,Friday,15,51.5831,0,0,41.2665,0.4448
TechHaven,Drone,Clear,Recession,Tuesday,7,19.4112,1,0,12.2545,0.2258
SolarisVille,Drone,Clear,Stable,Wednesday,17,65.7654,1,0,32.8827,0.366
Ecoopolis,Autonomous Vehicle,Electromagnetic Storm,Recession,Friday,9,89.8987,0,0,71.919,0.1291
TechHaven,Drone,Snowy,Booming,Tuesday,0,45.614,0,0,27.2811,0.3835
Neuroburg,Drone,Snowy,Recession,Tuesday,4,46.644,0,0,27.8971,0.0233
AquaCity,Drone,Snowy,Recession,Sunday,1,31.3561,0,0,15.6781,0.1045
Ecoopolis,Flying Car,Rainy,Recession,Sunday,1,26.8668,0,0,32.2401,0.0861
MetropolisX,Car,Clear,Stable,Saturday,4,86.0583,0,0,97.7935,0.5015
AquaCity,Drone,Rainy,Stable,Wednesday,19,64.3361,0,0,32.1681,0.3952
SolarisVille,Drone,Solar Flare,Recession,Sunday,17,51.1382,0,0,25.5691,0.067
MetropolisX,Drone,Clear,Booming,Wednesday,13,18.4839,0,0,10.5022,0.5117
Ecoopolis,Autonomous Vehicle,Solar Flare,Recession,Tuesday,1,18.0313,0,0,14.425,0.0619
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Stable,Sunday,3,42.8244,0,0,40.9803,0.2648
MetropolisX,Autonomous Vehicle,Snowy,Booming,Friday,14,72.827,0,0,61.328,0.7467
TechHaven,Autonomous Vehicle,Rainy,Recession,Saturday,5,47.1382,0,0,45.1083,0.0568
Ecoopolis,Drone,Snowy,Booming,Monday,11,51.8338,0,0,32.3961,0.2412
MetropolisX,Autonomous Vehicle,Solar Flare,Recession,Sunday,5,36.7374,0,1,33.3977,0.2333
Ecoopolis,Autonomous Vehicle,Snowy,Stable,Sunday,13,33.0636,1,0,26.4509,0.1479
SolarisVille,Drone,Clear,Booming,Thursday,23,94.4775,0,0,47.2388,0.3525
MetropolisX,Drone,Electromagnetic Storm,Recession,Monday,22,34.6047,0,0,20.6966,0.0967
TechHaven,Autonomous Vehicle,Rainy,Booming,Wednesday,21,45.1512,0,0,40.0064,0.2235
SolarisVille,Car,Snowy,Recession,Saturday,0,74.1706,0,0,74.1706,0.176
TechHaven,Autonomous Vehicle,Clear,Stable,Saturday,13,86.8463,1,0,63.1609,0.2057
SolarisVille,Autonomous Vehicle,Solar Flare,Recession,Friday,3,60.3555,0,0,48.2844,0.0618
Ecoopolis,Autonomous Vehicle,Rainy,Stable,Monday,1,84.0054,0,0,67.2043,0.1449
AquaCity,Flying Car,Rainy,Stable,Saturday,2,60.3278,0,0,72.3934,0.867
Neuroburg,Drone,Clear,Stable,Thursday,6,50.7542,0,0,32.0418,0.0684
Neuroburg,Autonomous Vehicle,Snowy,Stable,Thursday,0,93.1355,0,0,89.1249,0.1046
Neuroburg,Autonomous Vehicle,Rainy,Recession,Sunday,14,31.0757,1,0,23.79,0.0099
AquaCity,Autonomous Vehicle,Snowy,Booming,Wednesday,15,82.6683,0,0,66.1346,0.4556
Neuroburg,Drone,Clear,Booming,Sunday,6,51.6247,0,0,29.3322,0.0877
Ecoopolis,Drone,Clear,Booming,Tuesday,12,49.7431,0,0,24.8716,0.1449
AquaCity,Autonomous Vehicle,Rainy,Stable,Thursday,4,26.7759,0,0,21.4207,0.4983
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Recession,Friday,3,44.725,0,0,42.7991,0.1321
MetropolisX,Drone,Solar Flare,Stable,Saturday,4,113.7992,0,0,56.8996,0.8506
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Recession,Saturday,23,35.1798,0,0,28.1439,0.2906
TechHaven,Drone,Rainy,Booming,Monday,10,16.8224,0,0,10.0612,0.2618
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Recession,Tuesday,13,59.1773,0,0,56.629,0.2972
Ecoopolis,Car,Solar Flare,Booming,Monday,14,54.3022,0,0,54.3022,0.2071
Neuroburg,Drone,Electromagnetic Storm,Stable,Tuesday,21,58.06,0,0,34.7249,0.0593
Ecoopolis,Flying Car,Rainy,Stable,Friday,5,27.5134,0,0,33.0161,0.3464
SolarisVille,Drone,Rainy,Booming,Wednesday,13,80.983,0,0,40.4915,0.4287
Ecoopolis,Autonomous Vehicle,Snowy,Recession,Saturday,4,55.1888,0,0,44.1511,0.0378
TechHaven,Autonomous Vehicle,Snowy,Stable,Wednesday,18,16.4833,1,0,11.6841,0.1846
MetropolisX,Autonomous Vehicle,Rainy,Booming,Thursday,10,48.4728,0,0,46.3855,0.3299
SolarisVille,Autonomous Vehicle,Clear,Stable,Sunday,17,22.4253,0,0,17.9402,0.3614
SolarisVille,Autonomous Vehicle,Clear,Booming,Wednesday,6,52.1099,0,0,41.6879,0.3485
TechHaven,Drone,Rainy,Recession,Saturday,3,37.518,0,0,22.439,0.2066
TechHaven,Autonomous Vehicle,Rainy,Booming,Thursday,21,56.0511,0,1,49.6643,0.1835
SolarisVille,Flying Car,Electromagnetic Storm,Stable,Sunday,23,56.7933,0,0,68.152,0.4287
AquaCity,Autonomous Vehicle,Solar Flare,Booming,Saturday,15,60.8273,0,0,48.6618,0.658
TechHaven,Autonomous Vehicle,Clear,Booming,Tuesday,1,91.2012,0,0,82.9102,0.2215
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Recession,Sunday,20,31.1652,0,0,29.8232,0.0128
Ecoopolis,Autonomous Vehicle,Solar Flare,Recession,Sunday,11,105.6,0,0,91.8029,0.0301
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Recession,Monday,14,74.5874,0,0,71.3755,0.103
Ecoopolis,Drone,Snowy,Stable,Wednesday,23,77.76,0,0,53.9455,0.2691
TechHaven,Autonomous Vehicle,Solar Flare,Booming,Wednesday,20,29.9653,0,0,25.2233,0.4175
Ecoopolis,Autonomous Vehicle,Rainy,Booming,Thursday,11,30.2331,0,0,24.1865,0.1381
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Stable,Saturday,1,36.457,0,0,34.8871,0.2605
TechHaven,Drone,Snowy,Booming,Thursday,9,52.0817,0,0,31.1493,0.3442
SolarisVille,Autonomous Vehicle,Rainy,Recession,Friday,11,40.7287,0,1,32.5829,0.1226
AquaCity,Car,Rainy,Stable,Saturday,17,74.4935,0,0,74.4935,0.7046
Ecoopolis,Autonomous Vehicle,Solar Flare,Stable,Saturday,12,62.4185,1,0,49.9348,0.1406
AquaCity,Drone,Clear,Booming,Tuesday,9,39.5882,0,0,19.7941,0.5313
TechHaven,Drone,Rainy,Stable,Monday,15,88.3273,0,0,52.8273,0.1385
AquaCity,Autonomous Vehicle,Rainy,Booming,Saturday,8,29.4054,0,0,23.5243,0.5794
SolarisVille,Autonomous Vehicle,Clear,Recession,Monday,22,69.9803,0,0,55.9842,0.0816
Ecoopolis,Flying Car,Clear,Booming,Tuesday,7,55.8165,1,0,66.9798,0.291
